IMAGE       STARS       GALAXIES    COSMIC_RAYS BAD_PIXELS  BPX_IMAGE            %_CHANGE    EXPTIME     SKY                  RMS                 
1           13          624         729         0           None                 0.0         50          0.6283185307179586   0.26488935541912434 
2           13          624         729         0           None                 0.0         50          0.7853981633974483   0.270754433514853   
3           13          624         729         0           None                 0.0         50          0.8975979010256552   0.27486716431853603 
4           13          624         729         0           None                 0.0         50          1.0471975511965976   0.2802569375125832  
5           13          624         729         0           None                 0.0         50          1.2566370614359172   0.287632997461554   
6           13          624         729         0           None                 0.0         50          1.3962634015954636   0.29244703457533855 
7           13          624         729         0           None                 0.0         50          1.5707963267948966   0.29835536954427    
8           13          624         729         0           None                 0.0         50          1.7951958020513104   0.3057841003731656  
9           13          624         729         0           None                 0.0         50          2.0943951023931953   0.3154170287854857  
10          13          624         729         0           None                 0.0         50          2.5132741228718345   0.328428808811646   
11          13          624         729         0           None                 0.0         50          2.792526803190927    0.33682419162497595 
12          13          624         729         0           None                 0.0         50          3.141592653589793    0.34703292793594653 
13          13          624         1458        0           None                 0.0         100         0.6283185307179586   0.143816498730777   
14          13          624         1458        0           None                 0.0         100         0.7853981633974483   0.149177684772135   
15          13          624         1458        0           None                 0.0         100         0.8975979010256552   0.1528920501865828  
16          13          624         1458        0           None                 0.0         100         1.0471975511965976   0.15770851439274286 
17          13          624         1458        0           None                 0.0         100         1.2566370614359172   0.164214404405823   
18          13          624         1458        0           None                 0.0         100         1.3962634015954636   0.16841209581248798 
19          13          624         1458        0           None                 0.0         100         1.5707963267948966   0.17351646396797327 
20          13          624         1458        0           None                 0.0         100         1.7951958020513104   0.1798665005511396  
21          13          624         1458        0           None                 0.0         100         2.0943951023931953   0.18799986974445473 
22          13          624         1458        0           None                 0.0         100         2.5132741228718345   0.198828421581821   
23          13          624         1458        0           None                 0.0         100         2.792526803190927    0.20573105752877777 
24          13          624         1458        0           None                 0.0         100         3.141592653589793    0.21404655226351565 
25          13          624         2915        0           None                 0.0         200         0.6283185307179586   0.0821072022029115  
26          13          624         2915        0           None                 0.0         200         0.7853981633974483   0.08675823198398663 
27          13          624         2915        0           None                 0.0         200         0.8975979010256552   0.0899332502755698  
28          13          624         2915        0           None                 0.0         200         1.0471975511965976   0.09399993487222737 
29          13          624         2915        0           None                 0.0         200         1.2566370614359172   0.0994142107909105  
30          13          624         2915        0           None                 0.0         200         1.3962634015954636   0.10286552876438888 
31          13          624         2915        0           None                 0.0         200         1.5707963267948966   0.10702327613175783 
32          13          624         2915        0           None                 0.0         200         1.7951958020513104   0.1121426725660511  
33          13          624         2915        0           None                 0.0         200         2.0943951023931953   0.11862535779489129 
34          13          624         2915        0           None                 0.0         200         2.5132741228718345   0.12714704327808482 
35          13          624         2915        0           None                 0.0         200         2.792526803190927    0.1325240884366108  
36          13          624         2915        0           None                 0.0         200         3.141592653589793    0.13895309736723743 
37          13          624         4373        0           None                 0.0         300         0.6283185307179586   0.06078153586734376 
38          13          624         4373        0           None                 0.0         300         0.7853981633974483   0.06494608439306787 
39          13          624         4373        0           None                 0.0         300         0.8975979010256552   0.06776424575997914 
40          13          624         4373        0           None                 0.0         300         1.0471975511965976   0.0713488507545052  
41          13          624         4373        0           None                 0.0         300         1.2566370614359172   0.07608409955297092 
42          13          624         4373        0           None                 0.0         300         1.3962634015954636   0.07908357186326086 
43          13          624         4373        0           None                 0.0         300         1.5707963267948966   0.08268003238982788 
44          13          624         4373        0           None                 0.0         300         1.7951958020513104   0.08708608388736802 
45          13          624         4373        0           None                 0.0         300         2.0943951023931953   0.09263539824482495 
46          13          624         4373        0           None                 0.0         300         2.5132741228718345   0.09988783914757983 
47          13          624         4373        0           None                 0.0         300         2.792526803190927    0.10444339460829052 
48          13          624         4372        0           None                 0.0         300         3.141592653589793    0.10987254212024938 
49          13          624         5830        0           None                 0.0         400         0.6283185307179586   0.04970710539545525 
50          13          624         5830        0           None                 0.0         400         0.7853981633974483   0.053511638065878914
51          13          624         5830        0           None                 0.0         400         0.8975979010256552   0.05607133628302555 
52          13          624         5830        0           None                 0.0         400         1.0471975511965976   0.059312678897445646
53          13          624         5830        0           None                 0.0         400         1.2566370614359172   0.06357352163904241 
54          13          624         5830        0           None                 0.0         400         1.3962634015954636   0.0662620442183054  
55          13          624         5830        0           None                 0.0         400         1.5707963267948966   0.06947654868361872 
56          13          624         5830        0           None                 0.0         400         1.7951958020513104   0.0734029257259428  
57          13          624         5830        0           None                 0.0         400         2.0943951023931953   0.0783325459562179  
58          13          624         5830        0           None                 0.0         400         2.5132741228718345   0.08475367429899182 
59          13          624         5830        0           None                 0.0         400         2.792526803190927    0.08877678191947103 
60          13          624         5830        0           None                 0.0         400         3.141592653589793    0.09356271497757257 
61          13          624         7288        0           None                 0.0         500         0.6283185307179586   0.04280931045270313 
62          13          624         7288        0           None                 0.0         500         0.7853981633974483   0.04633353350215043 
63          13          624         7288        0           None                 0.0         500         0.8975979010256552   0.04869492583474494 
64          13          624         7288        0           None                 0.0         500         1.0471975511965976   0.051675865763363804
65          13          624         7288        0           None                 0.0         500         1.2566370614359172   0.05558123894689497 
66          13          624         7288        0           None                 0.0         500         1.3962634015954636   0.058039011045941565
67          13          624         7288        0           None                 0.0         500         1.5707963267948966   0.06097206453442259 
68          13          624         7288        0           None                 0.0         500         1.7951958020513104   0.06454759177616637 
69          13          624         7288        0           None                 0.0         500         2.0943951023931953   0.06902745978801762 
70          13          624         7288        0           None                 0.0         500         2.5132741228718345   0.07485017198205805 
71          13          624         7288        0           None                 0.0         500         2.792526803190927    0.07849237928857714 
72          13          624         7288        0           None                 0.0         500         3.141592653589793    0.08282019866662713 
73          13          624         8745        0           None                 0.0         600         0.6283185307179586   0.03804204977648546 
74          13          624         8745        0           None                 0.0         600         0.7853981633974483   0.04134001619491394 
75          13          624         8745        0           None                 0.0         600         0.8975979010256552   0.04354304194368401 
76          13          624         8745        0           None                 0.0         600         1.0471975511965976   0.04631769912241247 
77          13          624         8745        0           None                 0.0         600         1.2566370614359172   0.049943919573789915
78          13          624         8745        0           None                 0.0         600         1.3962634015954636   0.05222169730414526 
79          13          624         8745        0           None                 0.0         600         1.5707963267948966   0.05493627106012469 
80          13          624         8745        0           None                 0.0         600         1.7951958020513104   0.0582408190483174  
81          13          624         8745        0           None                 0.0         600         2.0943951023931953   0.06237514331838172 
82          13          624         8745        0           None                 0.0         600         2.5132741228718345   0.06774060971667137 
83          13          624         8745        0           None                 0.0         600         2.792526803190927    0.07109297671817902 
84          13          624         8745        0           None                 0.0         600         3.141592653589793    0.07507321596936546 
85          13          624         10203       0           None                 0.0         700         0.6283185307179586   0.03451775560557296 
86          13          624         10203       0           None                 0.0         700         0.7853981633974483   0.0376281135230359  
87          13          624         10203       0           None                 0.0         700         0.8975979010256552   0.039700884962067834
88          13          624         10203       0           None                 0.0         700         1.0471975511965976   0.04230690313329296 
89          13          624         10203       0           None                 0.0         700         1.2566370614359172   0.04570638197310872 
90          13          624         10203       0           None                 0.0         700         1.3962634015954636   0.04783868260413994 
91          13          624         10203       0           None                 0.0         700         1.5707963267948966   0.050377299486817934
92          13          624         10203       0           None                 0.0         700         1.7951958020513104   0.0534644085586129  
93          13          624         10202       0           None                 0.0         700         2.0943951023931953   0.05732251350420058 
94          13          624         10203       0           None                 0.0         700         2.5132741228718345   0.06232390516585934 
